# RC4 P7 — 공식 PROVE(Apache-2.0) RC-S/RC-T 실측
# RC-S=공간 제거 자연스러움, RC-T=시간축 일관성. 둘 다 낮을수록 좋음. 정답영상 불필요(reference-free).
# 구현: xiaomi-research/prove 고정 커밋 7ca299a + facebook/dinov2-giant(Apache-2.0), H100, 동일 81프레임 창
# RC-T는 자막 띠를 정사각 타일로 분할해 평가(공식 계산식 불변, 사유는 svor_worker._rc_t_tiles 주석)
# cand_V = Vmake(경쟁 서비스, 참고용 — 우리 제품 후보 아님). 11 ROI 전부 완료(60행).
roi,cand,rc_s,rc_s_p95,rc_t,rc_t_p95,n_s,n_t,tiles_per_pair,eval_s
g26,cand_A,0.35365,0.41816,0.88379,1.71989,79,78,1,28.9
g26,cand_C_w0,0.41159,0.48518,1.10189,3.44835,79,78,1,27.2
g26,cand_E_w0,0.44782,0.53366,1.11752,3.15327,79,78,1,27.4
g26,cand_D,0.33351,0.39773,0.98532,2.33012,79,78,1,27.0
g26,cand_F,0.29007,0.39510,0.72510,2.06002,79,78,1,26.8
uat01_t100_115,cand_A,0.33775,0.38335,0.35899,1.11108,81,80,2,62.0
uat01_t100_115,cand_C_w0,0.43914,0.48899,0.30727,0.74942,81,80,2,61.3
uat01_t100_115,cand_E_w0,0.45481,0.50750,0.29052,0.70088,81,80,2,61.9
uat01_t100_115,cand_D,0.32908,0.39735,0.33855,0.98057,81,80,2,62.6
uat01_t100_115,cand_F,0.34735,0.43169,0.36234,1.01221,81,80,2,62.5
uat01_t100_115,cand_V,0.47317,0.54865,0.33392,0.67657,81,80,2,61.3
uat01_t154,cand_A,0.40679,0.45490,0.74158,1.50298,81,80,4,120.9
uat01_t154,cand_C_w0,0.46047,0.50323,0.50596,1.34294,81,80,4,120.7
uat01_t154,cand_E_w0,0.49830,0.53500,0.56198,1.54141,81,80,4,122.3
uat01_t154,cand_D,0.43827,0.46903,0.49267,1.33765,81,80,4,121.8
uat01_t154,cand_F,0.46243,0.49766,0.57719,1.38018,81,80,4,121.5
uat01_t154,cand_V,0.49842,0.53353,0.45642,1.10428,81,80,4,120.8
uat02_t5,cand_A,0.36451,0.51256,0.61696,2.18817,81,80,2,60.3
uat02_t5,cand_C_w0,0.41199,0.49954,0.55794,2.00761,81,80,2,60.3
uat02_t5,cand_E_w0,0.45665,0.52467,0.51934,1.76758,81,80,2,59.9
uat02_t5,cand_D,0.33863,0.45374,0.54495,2.17779,81,80,2,60.8
uat02_t5,cand_F,0.33656,0.46969,0.51452,1.95064,81,80,2,60.0
uat02_t5,cand_V,0.45245,0.51898,0.55310,1.88254,81,80,2,60.1
uat02_t92_112,cand_A,0.32844,0.44044,1.12522,3.72455,81,80,2,58.5
uat02_t92_112,cand_C_w0,0.43492,0.50799,0.96645,3.76568,81,80,2,58.1
uat02_t92_112,cand_E_w0,0.48232,0.53272,1.02102,3.38344,81,80,2,58.4
uat02_t92_112,cand_D,0.26138,0.38666,0.96352,3.50235,81,80,2,58.4
uat02_t92_112,cand_F,0.28058,0.37415,1.10010,3.75908,81,80,2,58.2
uat02_t92_112,cand_V,0.42713,0.50534,1.13623,3.44638,81,80,2,58.8
uat02_t143_161,cand_A,0.34883,0.47299,0.39368,0.90234,81,80,2,60.0
uat02_t143_161,cand_C_w0,0.34900,0.40996,0.26519,0.28242,81,80,2,59.8
uat02_t143_161,cand_E_w0,0.38920,0.46287,0.27261,0.32262,81,80,2,61.2
uat02_t143_161,cand_D,0.29400,0.37706,0.18234,0.44397,81,80,2,61.5
uat02_t143_161,cand_F,0.29688,0.41271,0.33850,1.06401,81,80,2,60.5
uat02_t143_161,cand_V,0.37206,0.44312,0.39786,0.85974,81,80,2,61.1
uat03_t45_60,cand_A,0.36836,0.50173,1.08944,2.57988,81,80,2,55.3
uat03_t45_60,cand_C_w0,0.48144,0.58229,1.09719,4.04279,81,80,2,54.9
uat03_t45_60,cand_E_w0,0.48551,0.58391,1.06610,4.03802,81,80,2,54.9
uat03_t45_60,cand_D,0.35638,0.45699,0.84017,2.60069,81,80,2,54.3
uat03_t45_60,cand_F,0.35850,0.45879,0.97083,2.85679,81,80,2,55.1
g27,cand_A,0.41595,0.46679,0.35017,1.27387,81,80,2,64.2
g27,cand_C_w0,0.44230,0.48627,0.35558,1.45831,81,80,2,64.2
g27,cand_E_w0,0.48047,0.52305,0.30016,0.82836,81,80,2,64.4
g27,cand_D,0.44494,0.49490,0.35654,1.02448,81,80,2,64.0
g27,cand_F,0.42005,0.46252,0.34674,1.01831,81,80,2,64.1
g28,cand_A,0.47314,0.50637,1.65919,2.67640,81,80,14,356.1
g28,cand_C_w0,0.53947,0.56880,1.57345,2.57115,81,80,14,354.2
g28,cand_E_w0,0.54128,0.57055,1.62627,2.85639,81,80,14,355.4
g28,cand_D,0.46967,0.50124,1.56640,2.62602,81,80,14,354.7
g28,cand_F,0.44891,0.48484,1.60290,2.81650,81,80,14,354.7
g31,cand_A,0.46036,0.53063,1.42786,2.34305,81,80,7,195.3
g31,cand_C_w0,0.51420,0.56669,1.57208,2.46452,81,80,7,196.3
g31,cand_E_w0,0.51266,0.56366,1.57694,2.82497,81,80,7,196.6
g31,cand_D,0.39782,0.46664,1.49437,2.69245,81,80,7,196.8
g31,cand_F,0.37939,0.44546,1.40471,2.31194,81,80,7,197.8
g33,cand_A,0.45939,0.55347,0.31549,0.85681,81,80,1,29.6
g33,cand_C_w0,0.48383,0.57444,0.26303,0.91728,81,80,1,29.0
g33,cand_E_w0,0.49603,0.60851,0.25854,0.68084,81,80,1,29.1
g33,cand_D,0.30036,0.43378,0.16907,0.82223,81,80,1,29.2
g33,cand_F,0.32091,0.48964,0.29194,0.87846,81,80,1,29.1
